WERD,LENGTHofWERD,INITIAL,FREQEST,GROUP,INVENTORY,CONTAINS,MASQ
HEAPIEST,8,H,-2147221499,3,7,AEHIPST,3277602
HEARSIER,8,H,-2147221499,3,6,AEHIRS,1573666
HEARSIEST,9,H,-2147221499,3,7,AEHIRST,3670818
HEARTPEA,8,H,-2147221499,3,6,AEHPRT,2752802
HEARTPEAS,9,H,-2147221499,3,7,AEHPRST,3801378
HEARTSEEDS,10,H,-2147221499,3,7,ADEHRST,3670322
HEARTSOMENESSES,15,H,-2147221499,3,9,AEHMNORST,3760418
HEARTWATERS,11,H,-2147221499,3,7,AEHRSTW,20447522
HEATEDNESSES,12,H,-2147221499,3,7,ADEHNST,3162418
HEATHBIRDS,10,H,-2147221499,3,9,ABDEHIRST,3670838
HEATHENESSES,12,H,-2147221499,3,6,AEHNST,3162402
HEATHENISES,11,H,-2147221499,3,7,AEHINST,3162914
HEATHENNESSES,13,H,-2147221499,3,6,AEHNST,3162402
HEATHENRIES,11,H,-2147221499,3,8,AEHINRST,3687202
HEATHERIER,10,H,-2147221499,3,6,AEHIRT,2622242
HEATHERIEST,11,H,-2147221499,3,7,AEHIRST,3670818
HEATHFOWLS,10,H,-2147221499,3,9,AEFHLOSTW,19992930
HEAVENLINESSES,14,H,-2147221499,3,8,AEHILNSV,9458466
HEBDOMADARS,11,H,-2147221499,3,9,ABDEHMORS,1646902
HEBDOMADERS,11,H,-2147221499,3,9,ABDEHMORS,1646902
HEBENONS,8,H,-2147221499,3,6,BEHNOS,1130788
HEBETATIONS,11,H,-2147221499,3,9,ABEHINOST,3228454
HEBETATIVE,10,H,-2147221499,3,7,ABEHITV,10486566
HEBONAS,7,H,-2147221499,3,7,ABEHNOS,1130790
HEBRAISATIONS,13,H,-2147221499,3,10,ABEHINORST,3752742
HECOGENINS,10,H,-2147221499,3,8,CEGHINOS,1131432
HECTOGRAPHIES,13,H,-2147221499,3,11,ACEGHIOPRST,3867562
HECTORISM,9,H,-2147221499,3,9,CEHIMORST,3744552
HECTORISMS,10,H,-2147221499,3,9,CEHIMORST,3744552
HECTORSHIP,10,H,-2147221499,3,9,CEHIOPRST,3867432
HECTOSTERES,11,H,-2147221499,3,7,CEHORST,3735848
HEDGEHOPPINGS,13,H,-2147221499,3,9,DEGHINOPS,1262512
HEDGIER,7,H,-2147221499,3,6,DEGHIR,525232
HEDGIEST,8,H,-2147221499,3,7,DEGHIST,3146672
HEEDFULNESSES,13,H,-2147221499,3,8,DEFHLNSU,5263728
HEEDIER,7,H,-2147221499,3,5,DEHIR,525104
HEEDIEST,8,H,-2147221499,3,6,DEHIST,3146544
HEEDINESSES,11,H,-2147221499,3,6,DEHINS,1065776
HEELBARS,8,H,-2147221499,3,7,ABEHLRS,1577254
HEEZIES,7,H,-2147221499,3,5,EHISZ,135267104
HEFTINESSES,11,H,-2147221499,3,7,EFHINST,3162976
HEGUMENES,9,H,-2147221499,3,7,EGHMNSU,5267872
HEGUMENIES,10,H,-2147221499,3,8,EGHIMNSU,5268384
HEGUMENOSES,11,H,-2147221499,3,8,EGHMNOSU,5333408
HEGUMENY,8,H,-2147221499,3,7,EGHMNUY,71328160
HEIDUCS,7,H,-2147221499,3,7,CDEHISU,5243704
HEIGHTISMS,10,H,-2147221499,3,7,EGHIMST,3154848
HEINOUSNESSES,13,H,-2147221499,3,7,EHINOSU,5325600
HEJRAS,6,H,-2147221499,3,6,AEHJRS,1574178
HEKETARAS,9,H,-2147221499,3,7,AEHKRST,3672354
HELIBUSSES,10,H,-2147221499,3,7,BEHILSU,5247780
HELICLINES,10,H,-2147221499,3,7,CEHILNS,1069864
HELICOGRAPHS,12,H,-2147221499,3,11,ACEGHILOPRS,1774506
HELIMEN,7,H,-2147221499,3,6,EHILMN,29472
HELIOCHROMIES,13,H,-2147221499,3,9,CEHILMORS,1651496
HELIOLOGIES,11,H,-2147221499,3,7,EGHILOS,1119136
HELIOMETRIES,12,H,-2147221499,3,9,EHILMORST,3748640
HELIOPAUSES,11,H,-2147221499,3,9,AEHILOPSU,5444386
HELIOPSES,9,H,-2147221499,3,7,EHILOPS,1250080
HELIOSCIOPHYTE,14,H,-2147221499,3,10,CEHILOPSTY,70456104
HELIOSCIOPHYTES,15,H,-2147221499,3,10,CEHILOPSTY,70456104
HELIOTROPIES,12,H,-2147221499,3,9,EHILOPRST,3871520
HELIOTROPINS,12,H,-2147221499,3,10,EHILNOPRST,3887904
HELIOTYPIES,11,H,-2147221499,3,9,EHILOPSTY,70456096
HELIPILOTS,10,H,-2147221499,3,8,EHILOPST,3347232
HELISKIED,9,H,-2147221499,3,7,DEHIKLS,1055536
HELISKIINGS,11,H,-2147221499,3,8,EGHIKLNS,1072032
HELISKIS,8,H,-2147221499,3,6,EHIKLS,1055520
HELISPHERIC,11,H,-2147221499,3,8,CEHILPRS,1708840
HELLENISATIONS,14,H,-2147221499,3,9,AEHILNOST,3232546
HELLERIES,9,H,-2147221499,3,6,EHILRS,1577760
HELLICATS,9,H,-2147221499,3,8,ACEHILST,3150634
HELLKITES,9,H,-2147221499,3,7,EHIKLST,3152672
HELMETINGS,10,H,-2147221499,3,9,EGHILMNST,3175328
HELMSMANSHIPS,13,H,-2147221499,3,9,AEHILMNPS,1209122
HELOTAGES,9,H,-2147221499,3,8,AEGHLOST,3215778
HELOTISMS,9,H,-2147221499,3,8,EHILMOST,3224352
HELOTRIES,9,H,-2147221499,3,8,EHILORST,3740448
HELVETIUMS,10,H,-2147221499,3,9,EHILMSTUV,15741728
HEMACHROMES,11,H,-2147221499,3,8,ACEHMORS,1646890
HEMAGOG,7,H,-2147221499,3,6,AEGHMO,74146
HEMAGOGS,8,H,-2147221499,3,7,AEGHMOS,1122722
HEMATEINS,9,H,-2147221499,3,8,AEHIMNST,3171106
HEMATOGENESES,13,H,-2147221499,3,9,AEGHMNOST,3236258
HEMATOLYSES,11,H,-2147221499,3,9,AEHLMOSTY,70332706
HEMIALGIAS,10,H,-2147221499,3,8,AEGHILMS,1061794
HEMIMORPHIES,12,H,-2147221499,3,8,EHIMOPRS,1778464
HEMIONUSES,10,H,-2147221499,3,8,EHIMNOSU,5333792
HEMIOPIAS,9,H,-2147221499,3,8,AEHIMOPS,1254178
HEMIOPSIAS,10,H,-2147221499,3,8,AEHIMOPS,1254178
HEMITROPAL,10,H,-2147221499,3,10,AEHILMOPRT,2831138
HEMITROPIES,11,H,-2147221499,3,9,EHIMOPRST,3875616
HEMITROPISMS,12,H,-2147221499,3,9,EHIMOPRST,3875616
HEMOCONIAS,10,H,-2147221499,3,9,ACEHIMNOS,1139498
HEMORRHAGINGS,13,H,-2147221499,3,10,AEGHIMNORS,1663906
HEMOSTASIAS,11,H,-2147221499,3,8,AEHIMOST,3220258
HEMPIER,7,H,-2147221499,3,6,EHIMPR,664352
HEMPIEST,8,H,-2147221499,3,7,EHIMPST,3285792
HEMPWEEDS,9,H,-2147221499,3,7,DEHMPSW,17965360
HENCHEST,8,H,-2147221499,3,6,CEHNST,3162408
HENDECAHEDRA,12,H,-2147221499,3,7,ACDEHNR,540986
HENDECAHEDRONS,14,H,-2147221499,3,9,ACDEHNORS,1655098
HENEQUINS,9,H,-2147221499,3,7,EHINQSU,5522208
HENIQUENS,9,H,-2147221499,3,7,EHINQSU,5522208
HENIQUIN,8,H,-2147221499,3,6,EHINQU,4473632
HENIQUINS,9,H,-2147221499,3,7,EHINQSU,5522208
HENNIEST,8,H,-2147221499,3,6,EHINST,3162912
HENPECKERIES,12,H,-2147221499,3,9,CEHIKNPRS,1723176
HEORTOLOGIES,12,H,-2147221499,3,9,EGHILORST,3740576
HEORTOLOGIST,12,H,-2147221499,3,9,EGHILORST,3740576
HEORTOLOGISTS,13,H,-2147221499,3,9,EGHILORST,3740576
HEPATICOLOGIES,14,H,-2147221499,3,11,ACEGHILOPST,3347370
HEPATISE,8,H,-2147221499,3,7,AEHIPST,3277602
HEPATISES,9,H,-2147221499,3,7,AEHIPST,3277602
HEPATISING,10,H,-2147221499,3,9,AEGHINPST,3294114
HEPATIZES,9,H,-2147221499,3,8,AEHIPSTZ,137495330
HEPATOLOGIES,12,H,-2147221499,3,10,AEGHILOPST,3347362
HEPATOSCOPIES,13,H,-2147221499,3,9,ACEHIOPST,3343146
HEPHTHEMIMERS,13,H,-2147221499,3,8,EHIMPRST,3810080
HEPTAGLOTS,10,H,-2147221499,3,9,AEGHLOPST,3346850
HEPTAPODIC,10,H,-2147221499,3,9,ACDEHIOPT,2294586
HEPTAPODIES,11,H,-2147221499,3,9,ADEHIOPST,3343154
HEPTARCHIST,11,H,-2147221499,3,9,ACEHIPRST,3801898
HEPTARCHISTS,12,H,-2147221499,3,9,ACEHIPRST,3801898
HERBIEST,8,H,-2147221499,3,7,BEHIRST,3670820
HERBOLOGIES,11,H,-2147221499,3,9,BEGHILORS,1643428
HERCOGAMIES,11,H,-2147221499,3,10,ACEGHIMORS,1647530
HERENESSES,10,H,-2147221499,3,5,EHNRS,1589536
HERETICATES,11,H,-2147221499,3,8,ACEHIRST,3670826
HERITRESSES,11,H,-2147221499,3,6,EHIRST,3670816
HERKOGAMIES,11,H,-2147221499,3,10,AEGHIKMORS,1649570
HERMETICITIES,13,H,-2147221499,3,8,CEHIMRST,3679016
HERMETISMS,10,H,-2147221499,3,7,EHIMRST,3679008
HERMITISMS,10,H,-2147221499,3,7,EHIMRST,3679008
HERMITRIES,10,H,-2147221499,3,7,EHIMRST,3679008
HEROICALNESSES,14,H,-2147221499,3,10,ACEHILNORS,1659690
HEROICNESSES,12,H,-2147221499,3,8,CEHINORS,1655592
HEROINISMS,10,H,-2147221499,3,8,EHIMNORS,1663776
HEROSHIPS,9,H,-2147221499,3,7,EHIOPRS,1770272
HERPESES,8,H,-2147221499,3,5,EHPRS,1704224
HERPETOFAUNAE,13,H,-2147221499,3,10,AEFHNOPRTU,7029090
HERPETOLOGIES,13,H,-2147221499,3,10,EGHILOPRST,3871648
HERRENVOLKS,11,H,-2147221499,3,9,EHKLNORSV,10049824
HERRIMENTS,10,H,-2147221499,3,8,EHIMNRST,3695392
HERRYMENTS,10,H,-2147221499,3,8,EHMNRSTY,70803744
HERSALLS,8,H,-2147221499,3,6,AEHLRS,1577250
HESSITES,8,H,-2147221499,3,5,EHIST,3146528
HETAERISMIC,11,H,-2147221499,3,9,ACEHIMRST,3679018
HETAERISMS,10,H,-2147221499,3,8,AEHIMRST,3679010
HETAIRISMIC,11,H,-2147221499,3,9,ACEHIMRST,3679018
HETAIRISMS,10,H,-2147221499,3,8,AEHIMRST,3679010
HETERAUXESES,12,H,-2147221499,3,8,AEHRSTUX,41419042
HETEROBLASTIES,14,H,-2147221499,3,10,ABEHILORST,3740454
HETEROCERCIES,13,H,-2147221499,3,8,CEHIORST,3736360
HETEROCONTS,11,H,-2147221499,3,8,CEHNORST,3752232
HETERODACTYLS,13,H,-2147221499,3,11,ACDEHLORSTY,70848826
HETEROECISMS,12,H,-2147221499,3,9,CEHIMORST,3744552
HETEROFLEXIBLES,15,H,-2147221499,3,11,BEFHILORSTX,37294948
HETEROGAMETIES,14,H,-2147221499,3,10,AEGHIMORST,3744674
HETEROGENIES,12,H,-2147221499,3,9,EGHINORST,3752864
HETEROGONOUSLY,14,H,-2147221499,3,11,EGHLNORSTUY,75059616
HETEROKARYOSES,14,H,-2147221499,3,9,AEHKORSTY,70846754
HETEROPHYLLIES,14,H,-2147221499,3,10,EHILOPRSTY,70980384
HETEROSOMATOUS,14,H,-2147221499,3,9,AEHMORSTU,7938338
HETEROSPORIES,13,H,-2147221499,3,8,EHIOPRST,3867424
HETEROSTROPHIES,15,H,-2147221499,3,8,EHIOPRST,3867424
HETEROSTYLIES,13,H,-2147221499,3,9,EHILORSTY,70849312
HETEROSTYLISMS,14,H,-2147221499,3,10,EHILMORSTY,70857504
HETEROTHALLIES,14,H,-2147221499,3,9,AEHILORST,3740450
HETEROTHALLISMS,15,H,-2147221499,3,10,AEHILMORST,3748642
HETMANSHIPS,11,H,-2147221499,3,9,AEHIMNPST,3302178
HEUREKAS,8,H,-2147221499,3,7,AEHKRSU,5769506
HEXADECYLS,10,H,-2147221499,3,9,ACDEHLSXY,101716282
HEXAGLOTS,9,H,-2147221499,3,9,AEGHLOSTX,36770210
HEXAGRAMMOIDS,13,H,-2147221499,3,11,ADEGHIMORSX,35201970
HEXAGYNIAN,10,H,-2147221499,3,8,AEGHINXY,100680610
HEXAHEMERIC,11,H,-2147221499,3,8,ACEHIMRX,34087722
HEXAHEMERONS,12,H,-2147221499,3,9,AEHMNORSX,35217698
HEXAMERISMS,11,H,-2147221499,3,8,AEHIMRSX,35136290
HEXAMETHONIUMS,14,H,-2147221499,3,11,AEHIMNOSTUX,40985378
HEXAMETRISE,11,H,-2147221499,3,9,AEHIMRSTX,37233442
HEXAMETRISED,12,H,-2147221499,3,10,ADEHIMRSTX,37233458
HEXAMETRISES,12,H,-2147221499,3,9,AEHIMRSTX,37233442
HEXAMETRISING,13,H,-2147221499,3,11,AEGHIMNRSTX,37249954
HEXAMETRIZE,11,H,-2147221499,3,9,AEHIMRTXZ,170402594
HEXAMETRIZED,12,H,-2147221499,3,10,ADEHIMRTXZ,170402610
HEXAMETRIZES,12,H,-2147221499,3,10,AEHIMRSTXZ,171451170
HEXAMETRIZING,13,H,-2147221499,3,11,AEGHIMNRTXZ,170419106
HEXAPLOIDIES,12,H,-2147221499,3,10,ADEHILOPSX,34804530
HEXAPODIC,9,H,-2147221499,3,9,ACDEHIOPX,33751866
HEXARCHIES,10,H,-2147221499,3,8,ACEHIRSX,35128106
HEXASTICHAL,11,H,-2147221499,3,9,ACEHILSTX,36705066
HEXASTICHIC,11,H,-2147221499,3,8,ACEHISTX,36700970
HEXASTICHONS,12,H,-2147221499,3,10,ACEHINOSTX,36782890
HEXATHLONS,10,H,-2147221499,3,9,AEHLNOSTX,36786466
HEXOBARBITALS,13,H,-2147221499,3,11,ABEHILORSTX,37294886
HIBERNICISES,12,H,-2147221499,3,8,BCEHINRS,1590060
HIBERNICIZES,12,H,-2147221499,3,9,BCEHINRSZ,135807788
HIBERNISATIONS,14,H,-2147221499,3,10,ABEHINORST,3752742
HIBERNISES,10,H,-2147221499,3,7,BEHINRS,1590052
HIBERNISING,11,H,-2147221499,3,8,BEGHINRS,1590180
HIBERNIZATIONS,14,H,-2147221499,3,11,ABEHINORSTZ,137970470
HIBERNIZES,10,H,-2147221499,3,8,BEHINRSZ,135807780
HIBERNIZING,11,H,-2147221499,3,8,BEGHINRZ,134759332
HICATEES,8,H,-2147221499,3,7,ACEHIST,3146538
HICCATEES,9,H,-2147221499,3,7,ACEHIST,3146538
HICCUPIER,9,H,-2147221499,3,7,CEHIPRU,4850472
HICCUPIEST,10,H,-2147221499,3,8,CEHIPSTU,7471912
HICKWALLS,9,H,-2147221499,3,8,ACHIKLSW,17832714
HICKYMAL,8,H,-2147221499,3,8,ACHIKLMY,67123978
HICKYMALS,9,H,-2147221499,3,9,ACHIKLMSY,68172554
HIDALGOISMS,11,H,-2147221499,3,9,ADGHILMOS,1127314
HIDROSES,8,H,-2147221499,3,7,DEHIORS,1639216
HIELAMANS,9,H,-2147221499,3,8,AEHILMNS,1078050
HIERACOSPHINGES,15,H,-2147221499,3,11,ACEGHINOPRS,1786794
HIERACOSPHINXES,15,H,-2147221499,3,11,ACEHINOPRSX,35341098
HIERARCHISMS,12,H,-2147221499,3,8,ACEHIMRS,1581866
HIERATICAS,10,H,-2147221499,3,8,ACEHIRST,3670826
HIEROGRAPHERS,13,H,-2147221499,3,9,AEGHIOPRS,1770402
HIEROGRAPHIES,13,H,-2147221499,3,9,AEGHIOPRS,1770402
HIEROLATRIES,12,H,-2147221499,3,9,AEHILORST,3740450
HIEROLOGIC,10,H,-2147221499,3,8,CEGHILOR,594856
HIEROLOGIES,11,H,-2147221499,3,8,EGHILORS,1643424
HIEROMANCIES,12,H,-2147221499,3,10,ACEHIMNORS,1663786
HIEROPHOBIAS,12,H,-2147221499,3,9,ABEHIOPRS,1770278
HIEROPHOBIC,11,H,-2147221499,3,8,BCEHIOPR,721708
HIEROPHOBICS,12,H,-2147221499,3,9,BCEHIOPRS,1770284
HIEROSCOPIES,12,H,-2147221499,3,8,CEHIOPRS,1770280
HIERURGIES,10,H,-2147221499,3,7,EGHIRSU,5768096
HIGHBROWISMS,12,H,-2147221499,3,9,BGHIMORSW,18424708
HIGHBUSHES,10,H,-2147221499,3,7,BEGHISU,5243812
HIGHFALUTINGS,13,H,-2147221499,3,10,AFGHILNSTU,7361474
HIGHTINGS,9,H,-2147221499,3,6,GHINST,3163008
HIKOIED,7,H,-2147221499,3,6,DEHIKO,68400
HIKOIING,8,H,-2147221499,3,6,GHIKNO,84864
HIKOIS,6,H,-2147221499,3,5,HIKOS,1116928
HILARIOUSNESSES,15,H,-2147221499,3,10,AEHILNORSU,5853986
HILCHED,7,H,-2147221499,3,6,CDEHIL,4920
HILLINESSES,11,H,-2147221499,3,6,EHILNS,1069856
HILLOAED,8,H,-2147221499,3,7,ADEHILO,70450
HILLOAING,9,H,-2147221499,3,7,AGHILNO,86914
HILLOAS,7,H,-2147221499,3,6,AHILOS,1118978
HILLOCKIER,10,H,-2147221499,3,8,CEHIKLOR,596776
HILLOCKIEST,11,H,-2147221499,3,9,CEHIKLOST,3218216
HILLOED,7,H,-2147221499,3,6,DEHILO,70448
HILLOING,8,H,-2147221499,3,6,GHILNO,86912
HILLWALKINGS,12,H,-2147221499,3,9,AGHIKLNSW,17849218
HINAHINAS,9,H,-2147221499,3,5,AHINS,1065730
HINDERLINGS,11,H,-2147221499,3,9,DEGHILNRS,1594288
HINDERLINS,10,H,-2147221499,3,8,DEHILNRS,1594160
HINDMILKS,9,H,-2147221499,3,8,DHIKLMNS,1080080
HINKIEST,8,H,-2147221499,3,7,EHIKNST,3164960
HIOIS,5,H,-2147221499,3,4,HIOS,1114880
HIPNESSES,9,H,-2147221499,3,6,EHINPS,1196832
HIPPIATRIES,11,H,-2147221499,3,8,AEHIPRST,3801890
HIPPIEDOMS,10,H,-2147221499,3,8,DEHIMOPS,1254192
HIPPIENESSES,12,H,-2147221499,3,6,EHINPS,1196832
HIPPINESSES,11,H,-2147221499,3,6,EHINPS,1196832
HIPPOCRASES,11,H,-2147221499,3,9,ACEHIOPRS,1770282
HIPPOCREPIANS,13,H,-2147221499,3,10,ACEHINOPRS,1786666
HIPPODAMIST,11,H,-2147221499,3,9,ADHIMOPST,3351314
HIPPODAMISTS,12,H,-2147221499,3,9,ADHIMOPST,3351314
HIPPODAMOUS,11,H,-2147221499,3,9,ADHIMOPSU,5448466
HIPPOLOGIES,11,H,-2147221499,3,8,EGHILOPS,1250208
HIPPOPHAGIES,12,H,-2147221499,3,8,AEGHIOPS,1246114
HIPPOPHOBE,10,H,-2147221499,3,6,BEHIOP,197412
HIPPOPHOBES,11,H,-2147221499,3,7,BEHIOPS,1245988
HIPPUSES,8,H,-2147221499,3,6,EHIPSU,5374752
HIPPYDOMS,9,H,-2147221499,3,8,DHIMOPSY,68363024
HIRAGES,7,H,-2147221499,3,7,AEGHIRS,1573794
HIRCOCERVUSES,13,H,-2147221499,3,9,CEHIORSUV,14222120
HIRCOSITIES,11,H,-2147221499,3,8,CEHIORST,3736360
HIREAGES,8,H,-2147221499,3,7,AEGHIRS,1573794
HIRRIENTS,9,H,-2147221499,3,7,EHINRST,3687200
HIRSELED,8,H,-2147221499,3,7,DEHILRS,1577776
HIRSELLING,10,H,-2147221499,3,8,EGHILNRS,1594272
HIRSELLINGS,11,H,-2147221499,3,8,EGHILNRS,1594272
HIRSLES,7,H,-2147221499,3,6,EHILRS,1577760
HIRSTIE,7,H,-2147221499,3,6,EHIRST,3670816
HIRSUTENESSES,13,H,-2147221499,3,8,EHINRSTU,7881504
HIRUDINOUS,10,H,-2147221499,3,8,DHINORSU,5849872
HISPANICISES,12,H,-2147221499,3,8,ACEHINPS,1196842
HISPANIDADS,11,H,-2147221499,3,7,ADHINPS,1196818
HISPANIOLISES,13,H,-2147221499,3,9,AEHILNOPS,1266466
HISPANIOLISING,14,H,-2147221499,3,9,AGHILNOPS,1266562
HISPANIOLIZES,13,H,-2147221499,3,10,AEHILNOPSZ,135484194
HISPANIOLIZING,14,H,-2147221499,3,10,AGHILNOPSZ,135484290
HISPIDITIES,11,H,-2147221499,3,7,DEHIPST,3277616
HISSIEST,8,H,-2147221499,3,5,EHIST,3146528
HISTIOPHOROID,13,H,-2147221499,3,8,DHIOPRST,3867408
HISTRIONICISMS,14,H,-2147221499,3,9,CHIMNORST,3760904
HITCHHIKINGS,12,H,-2147221499,3,8,CGHIKNST,3165064
HITCHIEST,9,H,-2147221499,3,6,CEHIST,3146536
HITHERSIDES,11,H,-2147221499,3,7,DEHIRST,3670832
HIVEWARDS,9,H,-2147221499,3,9,ADEHIRSVW,26739506
HIZENS,6,H,-2147221499,3,6,EHINSZ,135283488
HIZZONERS,9,H,-2147221499,3,8,EHINORSZ,135873312
HOACTZINES,10,H,-2147221499,3,10,ACEHINOSTZ,137446186
HOARHEADS,9,H,-2147221499,3,7,ADEHORS,1638706
HOARINESSES,11,H,-2147221499,3,8,AEHINORS,1655586
HOATZINES,9,H,-2147221499,3,9,AEHINOSTZ,137446178
HOBBITRIES,10,H,-2147221499,3,8,BEHIORST,3736356
HOBBLEDEHOYDOMS,15,H,-2147221499,3,9,BDEHLMOSY,68235572
HOBBLEDEHOYISMS,15,H,-2147221499,3,10,BDEHILMOSY,68236084
HOBGOBLINISMS,13,H,-2147221499,3,9,BGHILMNOS,1143684
HOBGOBLINRIES,13,H,-2147221499,3,10,BEGHILNORS,1659812
HOBJOB,6,H,-2147221499,3,4,BHJO,66820
HOBJOBBED,9,H,-2147221499,3,6,BDEHJO,66868
HOBJOBBER,9,H,-2147221499,3,6,BEHJOR,591140
HOBJOBBERS,10,H,-2147221499,3,7,BEHJORS,1639716
HOBJOBBING,10,H,-2147221499,3,7,BGHIJNO,83844
HOBJOBBINGS,11,H,-2147221499,3,8,BGHIJNOS,1132420
HOBJOBS,7,H,-2147221499,3,5,BHJOS,1115396
HOBLIKE,7,H,-2147221499,3,7,BEHIKLO,72484
HOBNOBBIER,10,H,-2147221499,3,7,BEHINOR,607012
HOBNOBBIEST,11,H,-2147221499,3,8,BEHINOST,3228452
HOBODOMS,8,H,-2147221499,3,6,BDHMOS,1122580
HOBOISMS,8,H,-2147221499,3,6,BHIMOS,1123076
HOCHMAGANDIES,13,H,-2147221499,3,11,ACDEGHIMNOS,1139642
HODADDIES,9,H,-2147221499,3,7,ADEHIOS,1114930
HODDLING,8,H,-2147221499,3,7,DGHILNO,86928
HODOMETRIES,11,H,-2147221499,3,9,DEHIMORST,3744560
HODOMETRY,9,H,-2147221499,3,8,DEHMORTY,69804336
HOGHOODS,8,H,-2147221499,3,5,DGHOS,1114512
HOGMANES,8,H,-2147221499,3,8,AEGHMNOS,1139106
HOGMENAYS,9,H,-2147221499,3,9,AEGHMNOSY,68247970
HOGWASHES,9,H,-2147221499,3,7,AEGHOSW,17891746
HOICKSES,8,H,-2147221499,3,7,CEHIKOS,1116968
HOICKSING,9,H,-2147221499,3,8,CGHIKNOS,1133448
HOIDENED,8,H,-2147221499,3,6,DEHINO,82736
HOIDENISHNESS,13,H,-2147221499,3,7,DEHINOS,1131312
HOIDENISHNESSES,15,H,-2147221499,3,7,DEHINOS,1131312
HOISINS,7,H,-2147221499,3,5,HINOS,1131264
HOJATOLESLAMS,13,H,-2147221499,3,9,AEHJLMOST,3224866
HOJATOLISLAMS,13,H,-2147221499,3,9,AHIJLMOST,3225346
HOKEYNESSES,11,H,-2147221499,3,7,EHKNOSY,68241696
HOKEYPOKEYS,11,H,-2147221499,3,7,EHKOPSY,68356384
HOKINESSES,10,H,-2147221499,3,7,EHIKNOS,1133344
HOKYPOKIES,10,H,-2147221499,3,8,EHIKOPSY,68356896
HOLEYER,7,H,-2147221499,3,6,EHLORY,67703072
HOLKED,6,H,-2147221499,3,6,DEHKLO,71984
HOLLIDAMS,9,H,-2147221499,3,8,ADHILMOS,1127186
HOLMIUMS,8,H,-2147221499,3,7,HILMOSU,5321472
HOLOCAINES,10,H,-2147221499,3,9,ACEHILNOS,1135402
HOLODISCUSES,12,H,-2147221499,3,9,CDEHILOSU,5313336
HOLOHEDRISMS,12,H,-2147221499,3,9,DEHILMORS,1651504
HOLOMETABOLISMS,15,H,-2147221499,3,10,ABEHILMOST,3224358
HOLOPHYTISMS,12,H,-2147221499,3,9,HILMOPSTY,70464256
HOLOPLANKTONS,13,H,-2147221499,3,9,AHKLNOPST,3365122
HOLYDAMES,9,H,-2147221499,3,9,ADEHLMOSY,68235570
HOLYDAMS,8,H,-2147221499,3,8,ADHLMOSY,68235538
HOLYTIDES,9,H,-2147221499,3,9,DEHILOSTY,70325040
HOMELESSNESSES,14,H,-2147221499,3,7,EHLMNOS,1143072
HOMELYNS,8,H,-2147221499,3,8,EHLMNOSY,68251936
HOMEOMERY,9,H,-2147221499,3,6,EHMORY,67707168
HOMEOSES,8,H,-2147221499,3,5,EHMOS,1122592
HOMEOTELEUTONS,14,H,-2147221499,3,9,EHLMNOSTU,7434528
HOMEOTHERMIES,13,H,-2147221499,3,8,EHIMORST,3744544
HOMEOTHERMISMS,14,H,-2147221499,3,8,EHIMORST,3744544
HOMESCREETCH,12,H,-2147221499,3,8,CEHMORST,3744040
HOMESCREETCHES,14,H,-2147221499,3,8,CEHMORST,3744040
HOMESHORINGS,12,H,-2147221499,3,9,EGHIMNORS,1663904
HOMESOURCINGS,13,H,-2147221499,3,11,CEGHIMNORSU,5858216
HOMEWORKINGS,12,H,-2147221499,3,11,EGHIKMNORSW,18443168
HOMEYNESSES,11,H,-2147221499,3,7,EHMNOSY,68247840
HOMINESSES,10,H,-2147221499,3,7,EHIMNOS,1139488
HOMINISATIONS,13,H,-2147221499,3,8,AHIMNOST,3236610
HOMINISES,9,H,-2147221499,3,7,EHIMNOS,1139488
HOMINIZATIONS,13,H,-2147221499,3,9,AHIMNOSTZ,137454338
HOMMOSES,8,H,-2147221499,3,5,EHMOS,1122592
HOMOBLASTIES,12,H,-2147221499,3,10,ABEHILMOST,3224358
HOMOBLASTY,10,H,-2147221499,3,9,ABHLMOSTY,70332678
HOMOCERCIES,11,H,-2147221499,3,8,CEHIMORS,1647400
HOMOCHROMATISMS,15,H,-2147221499,3,9,ACHIMORST,3744522
HOMOCHROMIES,12,H,-2147221499,3,8,CEHIMORS,1647400
HOMOEOMORPHIES,14,H,-2147221499,3,8,EHIMOPRS,1778464
HOMOEOSES,9,H,-2147221499,3,5,EHMOS,1122592
HOMOEOSTASES,12,H,-2147221499,3,7,AEHMOST,3219746
HOMOEOTHERMOUS,14,H,-2147221499,3,8,EHMORSTU,7938336
HOMOEROTISMS,12,H,-2147221499,3,8,EHIMORST,3744544
HOMOGONIES,10,H,-2147221499,3,8,EGHIMNOS,1139616
HOMOGONOUSLY,12,H,-2147221499,3,9,GHLMNOSUY,72446336
HOMOIOTHERMIES,14,H,-2147221499,3,8,EHIMORST,3744544
HOMOLOGISER,11,H,-2147221499,3,9,EGHILMORS,1651616
HOMOLOGISERS,12,H,-2147221499,3,9,EGHILMORS,1651616
HOMOLOGIZERS,12,H,-2147221499,3,10,EGHILMORSZ,135869344
HOMOMORPHOSES,13,H,-2147221499,3,7,EHMOPRS,1777952
HOMOPHYLIES,11,H,-2147221499,3,9,EHILMOPSY,68367136
HOMOPLASMIES,12,H,-2147221499,3,9,AEHILMOPS,1258274
HOMOPLASTIES,12,H,-2147221499,3,10,AEHILMOPST,3355426
HOMOPOLARITIES,14,H,-2147221499,3,11,AEHILMOPRST,3879714
